EmployeeID,Name,Department,Job_Embeddedness1,Job_Embeddedness2,Job_Embeddedness3,Job_Embeddedness4,Job_Embeddedness5,Job_Embeddedness6,Job_Embeddedness7,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,Burnout_Exhaustion1,Burnout_Exhaustion2,Burnout_Exhaustion3,Burnout_Exhaustion4,Burnout_Disengagement1,Burnout_Disengagement2,Burnout_Disengagement3,Burnout_Disengagement4,Job_Satisfaction1,Job_Satisfaction2,Job_Satisfaction3,Psych_Safety1,Psych_Safety2,Psych_Safety3,Psych_Safety4,Psych_Safety5,Psych_Safety6,Psych_Safety7,UWES_Vigor1,UWES_Vigor2,UWES_Vigor3,UWES_Dedication1,UWES_Dedication2,UWES_Dedication3,UWES_Absorption1,UWES_Absorption2,UWES_Absorption3,Complaints,Improvements_Suggestions
EMP001,Sabrina Leach,Finance,3,2,3,4,2,3,3,2,2,3,4,1,3,4,4,3,4,4,4,4,3,5,2,4,3,4,4,3,4,4,1,3,1,3,3,3,4,5,3,4,2,3,2,3,Limited opportunities for career advancement,Expand flexible work arrangements
EMP002,Daisy Davis,Sales,3,3,3,2,4,2,3,4,4,2,3,3,3,4,2,3,5,1,2,5,2,4,3,3,3,4,3,3,3,4,4,3,4,3,2,3,1,5,4,3,4,3,3,4,Insufficient team collaboration,Clarify performance goals and metrics
EMP003,Diana Stark,Finance,3,3,4,5,2,4,3,4,2,4,4,3,3,3,1,3,3,2,1,5,3,5,3,5,4,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,1,5,2,3,Unclear performance expectations,Better workload distribution during peak times
EMP004,Rebecca Molina,Finance,3,3,3,2,4,4,3,2,5,2,3,4,2,3,4,2,2,4,3,1,3,2,3,4,4,2,4,3,5,3,4,2,3,5,3,2,2,4,3,2,4,3,2,2,Limited work-from-home flexibility,
EMP005,Jennifer Ramirez MD,Finance,3,1,3,3,4,5,2,2,3,3,2,3,3,1,1,3,2,4,3,4,3,3,2,2,4,5,3,1,4,4,2,3,2,3,5,3,4,3,3,2,3,3,4,2,Lack of recognition for contributions,Expand flexible work arrangements
EMP006,Cassandra Haas,Finance,3,3,4,4,5,1,1,3,4,4,2,1,2,4,4,4,3,2,4,4,4,2,3,1,1,3,2,3,3,4,2,4,3,2,3,3,2,3,2,3,4,3,2,4,,Improve team meeting frequency and clarity
EMP007,Dr. Casey Hess,Sales,2,4,3,2,2,5,2,3,1,2,2,3,2,4,3,2,4,3,3,2,4,4,3,3,3,2,4,3,1,1,2,3,4,2,4,3,1,3,4,4,2,3,2,3,Limited opportunities for career advancement,
EMP008,Craig Rogers,Sales,1,3,3,3,4,4,4,3,4,3,3,3,3,3,2,4,2,3,4,4,3,2,3,3,2,1,2,3,3,3,3,1,5,3,3,3,2,4,2,4,5,1,2,4,Lack of clear communication from management,Provide more resources for project completion
EMP009,Jacob Crawford,Finance,4,3,3,2,3,3,3,2,4,3,3,3,4,2,1,4,2,1,4,3,4,4,3,3,5,3,2,3,3,3,1,3,4,3,2,4,4,5,4,3,3,2,1,5,Limited opportunities for career advancement,Expand flexible work arrangements
EMP010,Cameron Bush,Marketing,4,3,3,2,5,3,4,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,2,4,1,4,4,5,3,2,4,4,3,2,3,3,5,3,4,4,3,2,3,2,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP011,Ashley Lowe,Finance,1,4,4,3,2,3,2,2,4,2,2,3,4,3,4,4,2,5,3,2,4,4,2,3,2,3,1,3,3,3,4,3,1,4,5,2,2,4,4,3,1,3,4,4,High workload during peak periods,Provide more resources for project completion
EMP012,Kendra Robinson,Sales,3,4,3,4,4,2,3,5,5,2,2,4,3,2,4,3,3,4,4,4,4,3,4,2,3,3,2,2,3,2,4,4,4,2,1,4,3,3,3,3,2,3,3,2,,Clarify performance goals and metrics
EMP013,Lindsay Haynes,Finance,1,3,2,1,3,3,2,3,4,2,2,3,1,4,1,4,3,4,4,2,4,4,3,3,2,5,3,4,3,2,4,4,4,5,4,1,3,2,2,3,3,2,3,2,Lack of recognition for contributions,Clarify performance goals and metrics
EMP014,Heather Dennis,Sales,3,4,4,5,4,3,1,3,4,2,3,2,4,4,4,3,4,2,3,3,4,5,3,3,3,4,4,4,1,1,3,4,3,3,4,4,4,4,3,3,3,3,3,5,Insufficient team collaboration,Better workload distribution during peak times
EMP015,Russell Glenn,Operations,4,5,1,3,4,2,2,2,3,3,3,4,2,4,1,3,3,2,2,2,2,4,2,2,3,4,4,3,2,3,2,2,4,4,3,3,3,2,2,3,2,1,3,2,,Enhance recognition programs for employees
