EmployeeID,Name,Department,Age,Tenure_Years,Tenure_Months,Recent_Promotion,Employment_Type,Manager,Job_Embeddedness1,Job_Embeddedness2,Job_Embeddedness3,Job_Embeddedness4,Job_Embeddedness5,Job_Embeddedness6,Job_Embeddedness7,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,POS10,Burnout_Exhaustion1,Burnout_Exhaustion2,Burnout_Exhaustion3,Burnout_Exhaustion4,Burnout_Disengagement1,Burnout_Disengagement2,Burnout_Disengagement3,Burnout_Disengagement4,Job_Satisfaction1,Job_Satisfaction2,Job_Satisfaction3,Psych_Safety1,Psych_Safety2,Psych_Safety3,Psych_Safety4,Psych_Safety5,Psych_Safety6,Psych_Safety7,UWES_Vigor1,UWES_Vigor2,UWES_Vigor3,UWES_Dedication1,UWES_Dedication2,UWES_Dedication3,UWES_Absorption1,UWES_Absorption2,UWES_Absorption3,Complaints,Improvements_Suggestions
EMP001,Ashley Francis,Sales,48,6,8,Yes,Part Time,Daniel Martinez,3,2,2,3,3,4,3,3,3,4,2,3,4,4,2,4,1,2,3,3,4,2,3,3,2,4,5,4,5,3,1,2,2,3,3,4,2,4,5,5,3,4,4,4,,Provide more resources for project completion
EMP002,Lorraine Shaw,Finance,52,4,6,Yes,Full Time,Rachel Thompson,2,1,4,3,4,1,5,2,3,2,1,3,5,3,2,2,3,1,3,2,2,3,2,2,3,2,2,4,4,4,4,3,4,2,2,4,2,3,2,2,2,3,4,3,Inadequate resources for projects,Implement regular feedback sessions
EMP003,Anthony Johnson,Engineering,48,5,0,No,Full Time,Michael Chen,4,3,4,1,3,3,2,2,3,3,4,2,5,1,3,5,3,4,4,2,3,4,3,3,2,1,1,3,4,3,2,3,3,3,3,3,4,3,1,2,2,4,2,1,,Provide more resources for project completion
EMP004,Melanie Reeves,Marketing,31,9,7,Yes,Part Time,Christopher Lee,2,2,2,3,4,2,4,3,1,2,1,4,5,3,1,1,2,2,4,2,3,3,4,3,2,4,3,4,4,5,3,2,1,4,1,4,2,3,2,2,4,4,4,3,Inadequate resources for projects,Better workload distribution during peak times
EMP005,Jill Parker,Finance,37,7,1,Yes,Full Time,Rachel Thompson,2,4,3,3,4,3,4,3,3,2,5,4,4,2,4,2,2,2,3,1,4,3,5,4,3,2,2,3,4,4,4,5,5,4,3,5,3,2,1,5,3,2,4,5,High workload during peak periods,Provide more resources for project completion
EMP006,Paige Patterson,Engineering,26,1,3,No,Full Time,Michael Chen,4,2,1,2,2,2,3,3,2,3,4,3,4,3,4,3,1,3,3,3,3,1,3,2,3,4,1,4,2,4,3,3,4,3,2,3,3,5,2,4,3,3,4,1,,Enhance recognition programs for employees
EMP007,Nancy Alvarez,Sales,24,5,4,No,Full Time,Daniel Martinez,2,2,2,3,4,4,3,4,3,4,3,5,3,4,4,3,3,3,4,3,1,1,2,1,3,3,4,1,3,4,5,3,4,3,3,2,3,4,3,5,1,2,2,3,,
EMP008,Rebecca York,Operations,55,14,7,No,Part Time,Ashley Hall,2,5,5,4,3,3,3,2,2,5,3,4,1,2,4,4,4,3,4,2,3,1,3,5,4,3,4,3,3,5,2,3,2,3,3,4,3,4,4,1,2,4,2,2,Limited opportunities for career advancement,Offer more professional development programs
EMP009,Tiffany Oliver,Operations,52,8,7,Yes,Part Time,Matthew Lewis,4,4,4,4,4,2,2,3,2,3,4,3,2,3,4,2,3,2,3,3,3,3,2,3,4,1,3,3,5,2,2,4,2,1,4,4,5,3,3,3,3,3,3,2,Unclear performance expectations,Offer more professional development programs
EMP010,Larry Gomez,HR,43,4,8,No,Full Time,Robert Wilson,3,2,3,3,2,4,4,1,3,4,3,3,5,3,4,3,1,2,3,3,3,2,3,2,3,3,3,4,3,4,1,4,4,5,4,2,2,2,3,4,3,4,3,2,Limited opportunities for career advancement,
EMP011,Patty Valentine,HR,60,9,0,No,Part Time,Lisa Brown,4,2,3,3,2,3,4,2,2,3,2,2,4,2,3,1,4,3,4,4,4,4,2,3,3,4,2,2,2,4,4,3,3,4,3,4,2,3,2,3,2,2,3,4,Limited opportunities for career advancement,Improve team meeting frequency and clarity
EMP012,Randy Smith,Sales,33,4,3,Yes,Part Time,Jessica Taylor,3,3,2,3,3,2,1,4,3,3,1,4,3,3,3,3,1,2,2,3,3,5,3,1,4,2,4,2,2,3,2,5,3,2,4,4,2,4,5,5,2,3,3,3,Limited opportunities for career advancement,Enhance recognition programs for employees
EMP013,Scott Hall MD,HR,64,1,5,No,Full Time,Jennifer Smith,3,2,4,3,4,4,3,4,3,5,4,2,3,3,3,4,3,4,3,3,3,5,4,5,2,5,4,1,2,2,2,3,4,2,2,5,5,2,4,4,3,2,5,4,,Offer more professional development programs
EMP014,Jeremy Robertson,HR,40,7,5,Yes,Part Time,Robert Wilson,2,5,4,4,4,2,3,4,3,3,3,4,4,4,4,2,5,4,1,3,1,4,1,4,3,4,1,2,3,1,3,3,2,3,2,2,3,4,3,2,1,2,2,4,Limited opportunities for career advancement,Provide more resources for project completion
EMP015,Austin Hurst,Finance,23,11,0,Yes,Full Time,Rachel Thompson,1,4,2,3,4,3,3,4,2,2,2,2,3,3,4,3,3,3,2,3,2,3,2,4,3,2,3,3,3,4,4,3,1,2,3,2,3,2,3,5,3,4,4,2,,Provide more resources for project completion
EMP016,Gary Williams,HR,39,6,8,Yes,Full Time,Lisa Brown,2,3,3,2,3,3,1,3,3,2,3,5,2,3,3,2,3,2,3,3,2,4,5,3,4,1,3,3,4,5,2,4,3,2,3,3,3,3,3,2,3,2,3,1,Inadequate resources for projects,Provide more resources for project completion
EMP017,Calvin Barton,HR,46,13,10,No,Part Time,Robert Wilson,2,5,3,4,3,2,4,3,4,3,2,3,2,3,1,3,2,2,5,3,2,2,3,2,1,2,3,1,4,3,2,4,2,1,4,4,4,5,4,3,3,4,4,3,,Better workload distribution during peak times
EMP018,John Williams,Marketing,50,5,10,No,Full Time,Michelle Garcia,3,4,4,2,3,4,2,2,2,4,3,2,4,5,5,3,2,2,3,3,3,2,4,3,3,5,2,3,4,4,3,4,4,3,3,2,2,3,2,3,1,4,2,4,,Offer more professional development programs
EMP019,Ashley Kirby,Marketing,48,3,11,No,Part Time,Michelle Garcia,2,5,3,3,3,3,3,2,2,4,1,3,2,3,3,3,3,3,2,1,2,3,4,3,3,4,4,2,3,3,4,4,5,4,3,2,2,4,2,1,4,2,2,3,Lack of clear communication from management,Improve team meeting frequency and clarity
EMP020,Jonathan Ochoa,Operations,50,8,2,Yes,Full Time,Ashley Hall,3,4,3,4,4,2,4,2,1,2,3,4,3,3,3,3,3,3,5,3,3,4,3,3,3,2,4,4,4,3,1,4,4,2,4,2,4,4,2,4,3,5,4,2,Lack of clear communication from management,Clarify performance goals and metrics
EMP021,Robert Carr,Engineering,58,0,4,No,Part Time,David Rodriguez,4,3,3,3,4,4,4,4,2,4,4,3,4,2,2,4,3,3,3,3,3,2,4,3,2,3,2,1,5,4,2,4,1,4,2,2,2,3,4,3,3,1,1,3,Limited work-from-home flexibility,Clarify performance goals and metrics
